azonosito	szemaz	ev
148	138	1949
149	139	1956
150	140	1948
151	141	2006
152	142	1957
153	143	1958
154	144	1957
155	145	1973
156	146	2004
157	147	1970
158	148	1990
159	149	2006
160	150	1952
161	151	1950
162	152	1955
163	153	2000
164	154	1950
165	155	2000
166	156	1949
167	156	1955
168	157	1948
169	158	2005
170	159	1999
171	160	1955
172	161	1953
173	162	1951
174	163	1949
175	164	1956
176	165	1948
177	166	1953
178	167	1953
179	168	1960
180	169	1949
181	169	1954
182	170	1959
183	171	1959
184	172	1957
185	173	1948
186	174	1962
187	175	1948
188	176	1948
189	177	1950
190	178	1956
191	179	1975
192	180	1954
193	181	2003
194	182	2006
195	183	1952
196	184	1963
197	185	2001
198	186	1948
199	187	1962
200	188	1952
201	189	1955
202	190	1952
203	191	1975
204	192	1990
205	193	1997
206	194	1993
207	195	1997
208	196	1953
209	197	2001
210	198	1996
211	199	1954
212	200	1990
213	201	1950
214	202	1985
215	203	1951
216	204	1948
217	204	1952
218	205	1999
219	206	1954
220	207	1953
221	208	1956
222	209	1955
223	210	1952
224	211	1978
225	211	1998
226	212	1956
227	212	1960
228	213	1957
229	214	1954
230	215	1951
231	216	1952
232	217	1952
233	218	1949
234	219	1993
235	220	1953
236	221	1954
237	222	1948
238	223	1953
239	224	1970
240	225	2001
241	226	1955
242	227	2005
243	228	1948
244	229	1958
245	230	1999
246	231	1954
247	232	1955
248	233	1994
249	234	1959
250	235	1949
251	236	1990
252	237	1953
253	237	1956
254	238	1954
255	239	1950
256	240	1956
257	241	1952
258	242	1962
259	243	1961
260	244	1978
261	245	1957
262	246	1957
263	247	1949
264	248	1978
265	249	1978
266	250	1955
267	251	1990
268	252	1956
269	253	1949
270	253	1953
271	254	1948
272	255	1957
273	256	1955
274	257	1953
275	258	2002
276	259	1953
277	260	1949
278	261	2005
279	262	2002
280	263	1999
281	264	1948
282	264	1962
283	265	1960
284	266	1951
285	267	1975
286	268	2001
287	269	1951
288	269	1958
289	270	1950
290	270	1956
291	271	1999
292	272	1958
293	273	1948
294	273	1956
295	274	1954
296	275	1949
297	276	1953
298	277	1996
299	278	2001
300	279	1952
301	280	1948
302	281	1950
303	282	1951
304	283	1999
305	284	1954
306	285	1953
307	286	1994
308	287	1985
309	288	1950
310	288	1991
311	289	1959
312	290	1952
313	290	1988
314	291	1948
315	292	1950
316	293	1953
317	293	1955
318	293	1970
319	294	1951
320	295	1948
321	296	2000
322	297	1948
323	298	1975
324	299	1961
325	300	1957
326	301	1956
327	302	1978
328	303	1953
329	304	1975
330	305	1951
331	305	1961
332	306	2006
333	307	2002
334	308	1950
335	309	1948
336	309	1965
337	310	1948
338	311	1955
339	312	1949
340	313	1996
341	314	1949
342	314	1955
343	314	1965
344	315	2006
345	316	1992
346	317	1950
347	317	1954
348	318	1953
349	319	1957
350	320	1953
351	321	1952
352	322	1953
353	323	1995
354	324	1956
355	325	1952
356	326	1970
357	327	1954
358	328	1951
359	329	1952
360	330	1951
361	331	1948
362	332	1950
363	333	1959
364	334	1950
365	335	1955
366	336	1953
367	337	1957
368	338	1950
369	339	1962
370	340	1951
371	341	1948
372	342	1991
373	343	1963
374	344	2002
375	345	1978
376	346	1956
377	347	1965
378	348	1963
379	349	1988
380	350	1952
381	351	1953
382	352	1953
383	353	1948
384	354	1955
385	354	1975
386	355	1952
387	356	1961
388	357	1978
389	358	2005
390	359	1951
391	360	1953
392	361	1951
393	361	1955
394	362	1950
395	362	1953
396	363	1949
397	364	1952
398	365	1950
399	366	1949
400	367	1954
401	368	2000
402	369	1994
403	370	1949
404	370	1956
405	371	1961
406	372	1952
407	373	1949
408	374	1957
409	375	1948
410	376	1950
411	377	1949
412	377	1957
413	378	1954
414	379	1952
415	380	1957
416	381	1953
417	382	1949
418	383	1966
419	384	1948
420	384	1950
421	385	1956
422	386	1963
423	387	1956
424	388	1997
425	389	1954
426	390	1957
427	391	1951
428	392	1951
429	393	2006
430	394	2000
431	395	1999
432	396	1958
433	397	1999
434	398	1995
435	399	2004
436	400	2000
437	401	2000
438	402	1948
439	403	1951
440	404	1955
441	405	2000
442	406	1990
443	407	1948
444	408	1949
445	409	1962
446	410	2004
447	411	1953
448	412	1958
449	413	1980
450	414	1951
451	415	1994
452	416	1954
453	417	2003
454	418	1990
455	419	1951
456	419	1962
457	420	1953
458	421	2001
459	422	1948
460	423	1959
461	424	1999
462	425	1954
463	426	1990
464	427	1955
465	428	1956
466	429	1961
467	430	2000
468	431	1997
469	432	1956
470	433	1948
471	434	1991
472	435	1959
473	436	1985
474	437	1950
475	438	1965
476	439	1957
477	440	1955
478	441	1998
479	442	1951
480	443	1951
481	444	1948
482	445	1970
483	446	1949
484	447	1950
485	448	1956
486	449	1951
487	450	1957
488	451	2004
489	452	1955
490	453	1999
491	454	1956
492	455	1948
493	456	2006
494	457	1950
495	457	1955
496	458	1959
497	459	1962
498	460	1958
499	461	1958
500	462	1954
501	463	1948
502	464	1948
503	465	1959
504	466	1998
505	467	2004
506	468	1961
507	469	1952
508	470	1950
509	471	1949
510	472	1953
511	473	1980
512	474	1951
513	474	1953
514	475	1950
515	476	1948
516	477	1957
517	478	1948
518	479	1952
519	480	1955
520	481	1950
521	482	1948
522	483	1992
523	484	1956
524	485	1957
525	486	1973
526	487	1952
527	488	1950
528	489	1950
529	490	1994
530	491	1960
531	492	1990
532	493	1953
533	494	1978
534	495	1956
535	496	2000
536	497	1948
537	498	1998
538	499	1959
539	500	1950
540	500	1955
541	501	1963
542	502	1950
543	502	1973
544	503	2000
545	504	1948
546	504	1953
547	504	1970
548	505	1965
549	506	1953
550	507	1952
551	508	1948
552	508	1952
553	509	1948
554	510	1958
555	511	1995
556	512	1973
557	512	2006
558	513	1948
559	513	1955
560	514	1997
561	515	2003
562	516	1956
563	517	1978
564	518	1951
565	519	1953
566	520	1948
567	521	1963
568	522	1951
569	523	1954
570	524	1952
571	525	1953
572	526	1963
573	527	2001
574	528	1990
575	529	1948
576	530	1994
577	531	1951
578	532	1954
579	533	1956
580	534	1996
581	535	1997
582	536	1948
583	537	1951
584	537	1973
585	538	1951
586	539	1962
587	540	1993
588	541	1951
589	542	1958
590	543	1955
591	544	1950
592	544	1975
593	545	1956
594	546	1996
595	547	1950
596	548	1952
597	549	2003
598	550	2001
599	551	1955
600	552	1952
601	553	1957
602	554	1949
603	555	2006
604	556	1948
605	557	1953
606	558	1956
607	559	1955
608	560	1950
609	561	1999
610	562	1963
611	563	1965
612	564	1948
613	565	1965
614	566	1956
615	567	1952
616	568	1973
617	569	2003
618	570	1956
619	571	1970
620	572	1952
621	573	1978
622	574	1993
623	575	1960
624	576	1953
625	577	1997
626	578	1951
627	578	1953
628	578	1954
629	579	1954
630	580	1948
631	581	2005
632	582	1950
633	583	1994
634	584	1953
635	585	1955
636	586	2002
637	587	1955
638	588	1992
639	589	1965
640	590	1951
641	591	1953
642	592	1950
643	593	1997
644	594	1957
645	595	2000
646	596	1990
647	597	1950
648	598	1980
649	599	1953
650	600	1996
651	601	2003
652	602	1948
653	603	1975
654	604	1950
655	604	1953
656	605	1948
657	606	1954
658	607	1955
659	608	1952
660	609	1954
661	610	1963
662	611	1970
663	612	1948
664	613	1959
665	614	1957
666	615	1975
667	616	1953
668	617	1951
669	618	1951
670	619	1955
671	620	1948
672	621	1949
673	622	1953
674	623	1960
675	624	1953
676	625	2000
677	626	1953
678	627	1959
679	628	1978
680	628	2005
681	629	1948
682	629	1952
683	629	1957
684	630	1990
685	631	1966
686	632	1983
687	633	1957
688	634	1958
689	635	1955
690	636	1950
691	636	1953
692	637	1980
693	638	1985
694	639	1954
695	640	1970
696	640	1977
697	641	1973
698	642	1963
699	643	1953
700	644	1997
701	645	1990
702	646	1950
703	646	1952
704	647	1998
705	648	1990
706	649	1999
707	650	1958
708	651	1955
709	652	1963
710	653	1999
711	654	1948
712	655	1951
713	656	1948
714	657	1970
715	658	1988
716	659	1963
717	660	1952
718	661	1955
719	662	1951
720	663	1950
721	664	2001
722	665	1950
723	666	1950
724	667	1953
725	668	1954
726	669	1957
727	670	1948
728	671	1953
729	672	1954
730	673	1955
731	674	1992
732	675	1996
733	676	1948
734	677	1950
735	677	1953
736	678	1970
737	679	1951
738	680	2005
739	681	1959
740	682	2001
741	683	1956
742	684	1955
743	685	2004
744	686	1950
745	686	1954
746	687	1954
747	688	1951
748	689	1953
749	690	2006
750	691	1962
751	692	1954
752	693	1973
753	693	1996
754	694	1985
755	695	1960
756	696	1955
757	697	1952
758	698	1951
759	699	1959
760	700	1957
761	701	1995
762	702	1948
763	703	1998
764	704	1950
765	705	1990
766	706	1995
767	707	1990
768	708	1952
769	709	1998
770	710	2005
771	711	1963
772	712	1996
773	713	2004
774	714	1973
775	715	2004
776	716	1962
777	717	1949
778	718	1998
779	719	1955
780	720	1963
781	721	1961
782	722	2006
783	723	1949
784	724	2003
785	725	1949
786	726	1953
787	727	1956
788	728	1954
789	729	1954
790	730	1954
791	731	1954
792	732	1954
793	733	1961
794	734	1950
795	735	1956
796	736	1956
797	737	1994
798	738	1951
799	739	1952
800	740	1952
801	741	1953
802	742	1955
803	743	1951
804	744	1996
805	745	1948
806	745	1955
807	746	1952
808	747	1963
809	748	1973
810	749	1965
811	750	2006
812	751	1953
813	752	2001
814	753	1952
815	753	1964
816	754	1952
817	755	1956
818	756	1996
819	757	1952
820	758	1949
821	759	1948
822	759	1955
823	760	1973
824	761	1954
825	762	1956
826	763	1990
827	764	1978
828	765	1957
829	766	1949
830	767	1954
831	768	1950
832	768	1961
833	769	1949
834	770	1950
835	771	1983
836	772	1961
837	773	1957
838	774	2002
839	775	1950
840	776	1957
841	776	1970
842	777	1997
843	778	1957
844	779	2003
845	780	2003
846	781	1973
847	782	1955
848	783	1955
849	784	1950
850	785	1954
851	786	2003
852	787	1953
853	788	1998
854	789	1957
855	790	1988
856	791	1990
857	792	1956
858	793	1950
859	794	1952
860	795	1950
861	796	1983
862	797	1985
863	798	1955
864	799	1950
865	799	1956
866	800	1953
867	801	1958
868	802	1948
869	802	1957
870	803	1958
871	804	1954
872	805	2006
873	806	1948
874	807	1955
875	808	1948
876	809	1962
877	810	1988
878	811	1980
879	812	1962
880	813	1961
881	814	1997
882	815	2002
883	816	1960
884	817	1953
885	818	1949
886	819	1950
887	819	1954
888	820	1948
889	821	1956
890	822	1963
891	823	1954
892	824	1990
893	825	1962
894	826	1999
895	827	1956
896	828	1990
897	829	1948
898	830	1955
899	831	1963
900	832	1957
901	833	1975
902	834	1949
903	834	1952
904	835	1980
905	836	1954
906	837	1955
907	838	1952
908	839	1952
909	840	1949
910	841	1952
911	842	1983
912	843	1994
913	844	1957
914	845	1954
915	846	1958
916	847	1948
917	847	1963
918	848	1948
919	849	1990
920	850	1995
921	851	2005
922	852	1956
923	853	1955
924	854	2004
925	855	1949
926	856	1952
927	857	1950
928	858	1952
929	859	1999
930	860	1953
931	861	1952
932	862	1957
933	863	1952
934	864	1952
935	865	2000
936	866	1948
937	867	1953
938	868	1948
939	869	1966
940	870	1949
941	871	2000
942	872	1956
943	873	1992
944	874	1958
945	875	1950
946	875	1954
947	875	1965
948	876	2001
949	877	1963
950	878	1954
951	879	1983
952	880	1949
953	881	1999
954	882	1950
955	883	1970
956	883	1997
957	884	1948
958	885	1957
959	886	1948
960	887	1956
961	888	1993
962	889	1949
963	889	1953
964	890	1949
965	891	1954
966	892	1948
967	893	1951
968	893	1954
969	894	1961
970	895	1959
971	896	1973
972	897	1955
973	898	1993
974	899	2003
975	900	1992
976	901	1950
977	902	1952
978	903	1962
979	904	1965
980	905	1956
981	906	1948
982	907	1949
983	908	1956
984	909	1953
985	910	1950
986	911	1985
987	912	1973
988	913	1955
989	914	1948
990	915	1990
991	916	1949
992	917	1951
993	918	1948
994	919	1948
995	920	1949
996	921	1962
997	922	1950
998	923	1953
999	924	1953
1000	925	1951
1001	926	1951
1002	927	1951
1003	928	1999
1004	929	1952
1005	930	1952
1006	931	2005
1007	932	1955
1008	933	1965
1009	934	1956
1010	935	1962
1011	936	1956
1012	937	1952
1013	938	1958
1014	939	1970
1015	940	1994
1016	941	1993
1017	942	2000
1018	943	1950
1019	943	1965
1020	944	1949
1021	945	2002
1022	946	1949
1023	947	1950
1024	948	1980
1025	949	1992
1026	950	1950
1027	951	1996
1028	952	1966
1029	952	2006
1030	953	1951
1031	953	1953
1032	954	1957
1033	955	1949
1034	956	1951
1035	957	1954
1036	958	1955
1037	959	1980
1038	960	1954
1039	961	1953
1040	962	1951
1041	963	1952
1042	964	1990
1043	965	1999
1044	966	1961
1045	967	1985
1046	968	2004
1047	969	1952
1048	970	1954
1049	971	1957
1050	972	1950
1051	973	1949
1052	973	1951
1053	974	1954
1054	975	2003
1055	976	1952
1056	977	1953
1057	978	1966
1058	979	1963
1059	980	1953
1060	981	1953
1061	982	1975
1062	983	1963
1063	984	2000
1064	985	1949
1065	986	1991
1066	987	1990
1067	988	1956
1068	989	1948
1069	990	1958
1070	991	1992
1071	992	1956
1072	993	1975
1073	994	1953
1074	995	1953
1075	996	1949
1076	997	1952
1077	998	1948
1078	999	2004
1079	1000	1996
1080	1001	1998
1081	1002	1978
1082	1003	1954
1083	1004	1961
1084	1005	1949
1085	1006	1957
1086	1007	1953
1087	1008	1954
1088	1009	1963
1089	1010	2000
1090	1011	1993
1091	1012	1954
1092	1013	1950
1093	1013	1955
1094	1014	1949
1095	1014	1954
1096	1015	1949
1097	1016	1963
1098	1017	1951
1099	1018	1953
1100	1019	1954
1101	1020	1949
1102	1020	1953
1103	1021	1957
1104	1022	1955
1105	1023	1985
1106	1024	1953
1107	1025	2004
1108	1026	1965
1109	1027	1955
1110	1028	1951
1111	1029	1952
1112	1030	1955
1113	1031	1954
1114	1032	1963
1115	1033	1949
1116	1034	1954
1117	1035	1949
1118	1036	1955
1119	1037	1954
1120	1038	1949
1121	1038	1956
1122	1039	1993
1123	1040	1960
1124	1041	1955
1125	1042	1954
1126	1043	1949
1127	1044	1948
1128	1045	1948
1129	1046	1955
1130	1047	1953
1131	1048	2005
1132	1049	1993
1133	1050	1953
1134	1051	1973
1135	1052	1949
1136	1053	1978
1137	1054	1975
1138	1055	1961
1139	1056	1955
1140	1057	1997
1141	1058	1954
1142	1059	1952
1143	1059	1956
1144	1060	1995
1145	1061	1996
1146	1062	1948
1147	1063	1960
1148	1064	1951
1149	1065	1956
1150	1066	1951
1151	1067	1949
1152	1068	1991
1153	1069	1949
1154	1069	1951
1155	1070	1951
1156	1071	1962
1157	1072	1954
1158	1073	1999
1159	1074	1950
1160	1074	1954
1161	1075	1959
1162	1076	1952
1163	1077	1980
1164	1078	1953
1165	1079	1948
1166	1080	1952
1167	1081	1955
1168	1082	1950
1169	1083	1952
1170	1084	1990
1171	1085	1995
1172	1086	1966
1173	1087	1999
1174	1088	1994
1175	1089	1948
1176	1090	1955
1177	1091	2006
1178	1092	1948
1179	1092	1951
1180	1093	1957
1181	1094	1997
1182	1095	1953
1183	1095	1959
1184	1096	1948
1185	1097	1954
1186	1098	1951
1187	1099	1956
1188	1100	1951
1189	1100	1954
1190	1101	1999
1191	1102	1998
1192	1103	1959
1193	1104	1961
1194	1105	1954
1195	1106	2006
1196	1107	1949
1197	1108	1949
1198	1109	1948
1199	1109	1958
1200	1110	1953
1201	1111	1948
1202	1112	1949
1203	1113	1954
1204	1114	1957
1205	1115	1957
1206	1116	1950
1207	1117	1992
1208	1118	1953
1209	1119	1994
1210	1120	1952
1211	1121	2000
1212	1122	1953
1213	1123	1951
1214	1123	1954
1215	1124	2000
1216	1125	1956
1217	1126	1960
1218	1127	1948
1219	1127	1958
1220	1128	1975
1221	1129	1959
1222	1130	1963
1223	1131	1957
1224	1132	1978
1225	1133	1991
1226	1134	1951
1227	1134	1954
1228	1135	1954
1229	1136	1991
1230	1137	1952
1231	1138	1950
1232	1138	1957
1233	1139	1951
1234	1139	1965
1235	1140	1998
1236	1141	1956
1237	1142	1991
1238	1143	1999
1239	1144	2005
1240	1145	1950
1241	1146	1997
1242	1147	1992
1243	1148	1952
1244	1149	1948
1245	1150	1948
1246	1151	1949
1247	1151	1952
1248	1152	1962
1249	1153	1983
1250	1154	1996
1251	1155	1985
1252	1156	1948
1253	1157	1955
1254	1158	1988
1255	1159	1952
1256	1160	1951
1257	1161	1957
1258	1162	1985
1259	1163	1959
1260	1164	1963
1261	1165	1963
1262	1166	1950
1263	1167	1948
1264	1168	1953
1265	1169	1963
1266	1170	1957
1267	1171	1988
1268	1172	1956
1269	1173	1970
1270	1174	1954
1271	1175	1951
1272	1175	1955
1273	1176	2001
1274	1177	1948
1275	1178	1970
1276	1179	1952
1277	1180	2005
1278	1181	1949
1279	1181	1955
1280	1182	1959
1281	1183	1956
1282	1184	1959
1283	1185	1951
1284	1186	1980
1285	1187	2001
1286	1188	1991
1287	1189	1951
1288	1190	1970
1289	1191	1988
1290	1192	1961
1291	1193	1953
1292	1194	1953
1293	1195	1966
1294	1196	2005
1295	1197	1948
1296	1198	2006
1297	1199	1952
1298	1200	2000
1299	1201	2000
1300	1202	1950
1301	1203	1949
1302	1204	1955
1303	1205	1950
1304	1205	1953
1305	1206	1955
1306	1207	1985
1307	1208	1949
1308	1209	1992
1309	1210	1998
1310	1211	2006
1311	1212	1953
1312	1213	1958
1313	1214	1988
1314	1215	1953
1315	1216	1959
1316	1217	1956
1317	1218	1991
1318	1219	1954
1319	1220	1998
1320	1221	1961
1321	1222	1957
1322	1223	1948
1323	1224	1950
1324	1225	1962
1325	1226	1950
1326	1226	1953
1327	1227	1961
1328	1228	1951
1329	1229	2003
1330	1230	1952
1331	1231	1991
1332	1232	2002
1333	1233	1994
1334	1234	1949
1335	1235	1958
1336	1236	1948
1337	1237	1954
1338	1238	1949
1339	1239	1962
1340	1240	1955
1341	1241	1957
1342	1242	1957
1343	1243	1957
1344	1244	1985
1345	1245	1951
1346	1246	1951
1347	1246	1952
1348	1247	1953
1349	1248	1956
1350	1249	2006
1351	1250	1991
1352	1251	1959
1353	1252	1952
1354	1253	1962
1355	1254	1948
1356	1255	1951
1357	1256	1948
1358	1257	1950
1359	1258	2001
1360	1259	1956
1361	1260	1990
1362	1261	1950
1363	1262	1952
1364	1263	1958
1365	1264	1952
1366	1265	1954
1367	1265	1973
1368	1265	1999
1369	1266	1995
1370	1267	1955
1371	1268	1953
1372	1269	1961
1373	1270	1952
1374	1271	2004
1375	1272	1949
1376	1272	1952
1377	1273	1958
1378	1274	1956
1379	1275	1956
1380	1276	1951
1381	1277	1999
1382	1278	1990
1383	1279	2002
1384	1280	1966
1385	1281	1949
1386	1282	1953
1387	1283	1953
1388	1284	1955
1389	1285	1952
1390	1286	1953
1391	1287	1962
1392	1288	1948
1393	1289	1954
1394	1290	1948
1395	1290	1952
1396	1291	1998
1397	1292	1963
1398	1293	2003
1399	1294	1951
1400	1295	1957
1401	1296	1954
1402	1297	1949
1403	1298	2005
1404	1299	1962
1405	1300	1965
1406	1301	1957
1407	1302	1948
1408	1303	1948
1409	1304	1948
1410	1305	1950
1411	1306	2002
1412	1307	1973
1413	1308	1950
1414	1308	1952
1415	1309	1951
1416	1310	1956
1417	1311	1952
1418	1312	1956
1419	1313	1962
1420	1313	1985
1421	1314	2006
1422	1315	2004
1423	1316	1954
1424	1317	1963
1425	1318	1962
1426	1319	1957
1427	1320	1970
1428	1321	1975
1429	1322	1953
1430	1322	1956
1431	1323	1958
1432	1324	1949
1433	1325	1998
1434	1326	1955
1435	1327	1948
1436	1327	1960
1437	1328	1951
1438	1329	1948
1439	1330	1953
1440	1331	1950
1441	1331	1952
1442	1332	1949
1443	1333	1955
1444	1334	1954
1445	1335	1949
1446	1335	1958
1447	1336	1978
1448	1337	1948
1449	1338	1980
1450	1339	1950
1451	1340	1949
1452	1341	1948
1453	1342	1956
1454	1343	1951
1455	1344	2005
1456	1345	1978
1457	1346	1953
1458	1347	2000
1459	1348	1951
1460	1349	1949
1461	1350	1954
1462	1351	1949
1463	1352	1950
1464	1352	1960
1465	1353	1957
1466	1354	1970
1467	1355	1952
1468	1356	1954
1469	1357	1956
1470	1358	1951
1471	1359	1950
1472	1359	1953
1473	1360	1963
1474	1361	1991
1475	1362	1953
1476	1363	1953
1477	1364	1951
1478	1364	1955
1479	1365	1992
1480	1366	1951
1481	1367	1951
1482	1368	2005
1483	1369	1949
1484	1369	1954
1485	1370	1948
1486	1371	1997
1487	1372	1956
1488	1373	1957
1489	1374	1955
1490	1375	1956
1491	1376	1988
1492	1377	1955
1493	1378	1954
1494	1379	1961
1495	1380	1956
1496	1381	1949
1497	1382	1949
1498	1383	2006
1499	1384	1973
1500	1385	2007
1501	1386	2007
1502	1387	2007
1503	1388	2007
1504	1389	2007
1505	1390	2007
1506	1391	2007
1507	1392	2007
1508	1393	2007
1509	1394	2007
1510	1395	2007
1511	1396	2007
1512	948	2007
1513	1398	2007
1514	978	2007
1515	1400	2007
1516	1401	2007
1517	1402	2007
1518	1403	2007
1519	1404	2007
1520	1405	2008
1521	1406	2008
1522	1407	2008
1523	1408	2008
1524	1409	2008
1525	1410	2008
1526	1411	2008
1527	1412	2008
1528	1413	2008
1529	1414	2008
1530	1415	2008
1531	1416	2008
1532	1417	2008
1533	1418	2008
1534	1419	2008
1535	1420	2008
1536	1421	2008
1537	1422	2008
1538	1423	2008
1539	1424	2008
1540	1425	2008
1541	1002	2008
