azon	szemaz	fognev
322	242	vájár
323	243	orvos
324	244	balettművész
325	245	olvasztár
326	246	zoológus
327	247	nyomdász
328	248	zeneszerző
329	249	koreográfus
330	249	díszlettervező
331	249	festő
332	250	mérnök
333	251	nyelvész
334	251	irodalomtörténész
335	252	agrokémikus
336	253	matematikus
337	254	festő
338	255	egyetemi tanár
339	255	geofizikus
340	256	operatőr
341	256	rendező
342	257	vájár
343	258	festő
344	258	díszlet és jelmeztervező
345	259	történész
346	260	történész
347	261	író
348	261	költő
349	261	műfordító
350	262	zeneszerző
351	262	karmester
352	263	színművész
353	264	agrárközgazdász
354	264	szociológus
355	264	politikus
356	265	geodéta-mérnök
357	266	géplakatos
358	267	karmester
359	268	etnográfus
360	268	folklorista
361	269	kémikus
362	270	fizikus
363	270	kémikus
364	270	oktatásügyi miniszter
365	271	bábszínész
366	272	matematikus
367	273	orvos
368	273	biofizikus
369	274	építészmérnök
370	275	tervezőmérnök
371	276	mérnök
372	277	író
373	277	publicista
374	278	színművész
375	278	rendező
376	279	bányamérnök
377	280	tsz-vezetők
378	281	agronómus
379	282	festő
380	282	grafikus
381	283	népzenész
382	284	hengerész
383	285	geofizikus
384	286	író
385	286	költő
386	286	műfordító
387	287	operaénekes
388	288	zeneszerző
389	289	gazdasági vezető
390	290	építész
391	291	befűző
392	292	kőműves
393	293	filmrendező
394	293	színművész
395	294	vegyészmérnök
396	295	vegyészmérnök
397	296	festő
398	297	matematikus
399	298	író
400	299	kertészmérnök
401	300	matematikus
402	301	turkológus
403	302	festő
404	302	grafikus
405	303	színművész
406	304	színművész
407	305	karmester
408	306	építészmérnök
409	307	látványtervező
410	307	építész
411	308	acélöntő
412	309	szobrász
413	310	gobelinművész
414	311	traktoros
415	312	pedagógus
416	313	építészmérnök
417	314	zongoraművész
418	315	karmester
419	316	író
420	316	költő
421	316	műfordító
422	317	kémikus
423	317	egyetemi tanár
424	318	operaénekes
425	319	író
426	319	költő
427	319	műfordító
428	319	újságíró
429	320	tsz-elnök
430	321	filozófus
431	322	kohómérnök
432	323	koreográfus
433	323	táncművész
434	324	gépészmérnök
435	325	gépészmérnök
436	326	festő
437	327	textilmérnök
438	328	irodalomtörténész
439	329	kémikus
440	330	geológus
441	331	vonalmester
442	332	kohómérnök
443	333	matematikus
444	334	vegyészmérnök
445	335	tervezőmérnök
446	336	matematikus
447	337	lelkész
448	337	művészettörténész
449	338	gépésztechnikus
450	339	balettművész
451	339	koreográfus
452	340	díszlettervező
453	341	író
454	341	költő
455	342	filmrendező
456	343	bányamérnök
457	344	színművész
458	345	író
459	345	politikus
460	346	matematikus
461	347	költő
462	347	műfordító
463	347	kritikus
464	347	politikus
465	348	vájár
466	349	színművész
467	350	mérnök
468	350	politikus
469	351	író
470	351	újságíró
471	352	színművész
472	352	író
473	353	selyemszövő
474	354	keramikus
475	355	mérnök
476	356	mérnök-közgazdász
477	357	író
478	358	színművész
479	358	humorista
480	359	író
481	359	műfordító
482	359	színigazgató
483	360	gyermekgyógyász
484	361	kohómérnök
485	362	rendező
486	363	költő
487	363	író
488	363	újságíró
489	364	mérnök
490	365	vegyészmérnök
491	366	biokémikus
492	366	egyetemi tanár
493	367	művészettörténész
494	367	régész
495	367	muzeológus
496	368	író
497	368	költő
498	368	műfordító
499	369	orgonaművész
500	369	kántor
501	370	író
502	371	patológus
503	371	könyvtáros
504	372	pedagógus
505	373	politikus
506	373	közgazdász
507	374	filmrendező
508	375	gazdasági vezető
509	375	földműves
510	376	földműves
511	377	gépészmérnök
512	378	építészmérnök
513	379	festő
514	380	építészmérnök
515	381	építészmérnök
516	382	színművész
517	383	író
518	384	fizikus
519	385	gépészmérnök
520	386	keramikus
521	387	gépészmérnök
522	388	filmrendező
523	388	díszlet- és jelmeztervező
524	389	színművész
525	390	belgyógyász
526	391	tsz-elnök
527	392	színművész
528	393	író
529	394	irodalomtörténész
530	395	operaénekes
531	396	növényanatómus
532	397	író
533	398	festő
534	398	grafikus
535	399	filmrendező
536	399	operatőr
537	400	előadóművész
538	401	zenész
539	402	traktoros
540	403	bőrgyógyász
541	404	mezőgazdász
542	405	filmrendező
543	406	festő
544	406	grafikus
545	407	földműves
546	408	genetikus
547	408	biológus
548	409	neurológus
549	409	gyermekpszichiáter
550	410	grafikus
551	410	animációsfilm-rendező
552	411	fizikus
553	412	vájár
554	413	író
555	413	publicista
556	414	operaénekes
557	415	író
558	415	költő
559	415	publicista
560	416	főgépész
561	417	textilművész
562	418	építészmérnök
563	418	régész
564	419	matematikus
565	420	bányamérnök
566	421	színművész
567	421	énekes
568	422	vármegyei tisztifőorvos
569	423	mérnök
570	424	népzenész
571	425	kőműves
572	426	filozófus
573	426	író
574	426	műfordító
575	427	nevelés- és agrártörténész
576	428	balettművész
577	428	koreográfus
578	429	gépészmérnök
579	430	kinetikus szobrász
580	431	hegedűművész
581	432	vasbetonszerelő
582	433	kábelmester
583	434	író
584	434	költő
585	434	műfordító
586	434	építész
587	434	filozófus
588	435	irodalomtörténész
589	435	író
590	435	kritikus
591	436	színművész
592	437	mikrobiológus
593	438	balettművész
594	438	pedagógus
595	439	belgyógyász
596	439	egyetemi tanár
597	440	geodéta
598	441	balettművész
599	442	író
600	442	forgatókönyvíró
601	442	lapszerkesztő
602	443	drámaíró
603	443	műfordító
604	444	vármegyei alispán
605	445	operaénekes
606	446	pedagógus
607	446	történész
608	447	operatőr
609	448	gépészmérnök
610	449	gépészmérnök
611	449	egyetemi tanár
612	450	író
613	450	költő
614	451	grafikus
615	451	festő
616	452	talajvegyész
617	453	író
618	453	közgazdász
619	454	zongoraművész1956
620	455	szerszámkészítő
621	456	filmrendező
622	457	belgyógyász
623	457	egyetemi tanár
624	458	vegyészmérnök
625	458	közgazdász
626	458	politikus
627	459	író
628	459	műfordító
629	460	bányamérnök
630	461	festő
631	461	grafikus
632	462	tsz-elnök
633	463	tüdőgyógyász
634	464	vegyész
635	464	egyetemi tanár
636	465	villamosmérnök
637	466	színművész
638	466	humorista
639	466	előadóművész
640	467	ütőhanszeres művész
641	468	festő
642	468	grafikus
643	469	filmrendező
644	469	operatőr
645	470	gazdasági vezető
646	471	rendező
647	472	színművész
648	473	belsőépítész
649	473	formatervező
650	474	rendező
651	474	színigazgató
652	475	vasesztergályos
653	475	vezérigazgató
654	476	földműves
655	476	gazdasági vezető
656	477	gépészmérnök
657	478	irodalomtörténész
658	479	mozdonyfűtő
659	480	klasszika-filológus
660	481	építőipari munkás
661	482	lakatos
662	483	színművész
663	484	vegyészmérnök
664	484	közgazdász
665	485	vájár
666	486	színművész
667	487	földműves
668	487	tsz-elnök
669	488	tsz-tagok
670	489	tsz-tagok
671	490	író
672	490	műfordító
673	491	neurológus
674	492	filmrendező
675	492	grafikus
676	493	pedagógus
677	494	színművész
678	494	rendező
679	495	vájár
680	496	dalszerző
681	496	énekes
682	497	tsz-vezetők
683	498	rendező
684	498	színművész
685	499	villamosmérnök
686	500	író
687	501	író
688	501	kritikus
689	501	műfordító
690	501	könyvkiadó
691	502	operatőr
692	503	zeneszerző
693	504	író
694	504	költő
695	505	operaénekes
696	506	grafikus
697	507	gyógyszerkutató
698	507	orvos
699	508	mikrobiológus
700	508	bakteriológus
701	509	traktoros
702	510	brácsaművész
703	511	előadóművész
704	512	filmrendező
705	513	belgyógyász
706	513	gyógyszerkutató
707	514	zongoraművész
708	515	író
709	516	író
710	516	költő
711	517	rajzfilmrendező
712	517	kultúrtörténész
713	517	illusztrátor
714	518	öntő
715	519	geológus
716	520	építőmérnök
717	521	operaénekes
718	522	fizikus
719	523	zeneszerző
720	523	népzenekutató
721	524	flórakutató
722	524	geobotanikus
723	525	olvasztár
724	526	patológus
725	526	higiénikus
726	527	zeneszerző
727	528	költő
728	528	műfordító
729	529	gépészmérnök
730	530	író
731	531	magkészítő
732	532	pedagógus
733	533	matematikus
734	534	színművész
735	534	rendező
736	534	színigazgató
737	535	szobrász
738	536	költő
739	537	költő
740	537	lapszerkesztő
741	538	vasbetonszerelő
742	539	belgyógyász
743	540	építészmérnök
744	540	egyetemi tanár
745	541	géplakatos
746	542	agronómus
747	543	entomológus
748	544	zeneszerző
749	544	zongoraművész
750	545	bútortervező
751	545	iparművész
752	546	népzenegyűjtő
753	546	folklorista
754	547	matematikus
755	548	filmrendező
756	549	operaénekes
757	550	építész
758	551	juhász
759	551	faragó népművész
760	552	gyermekgyógyász
761	553	gépészmérnök
762	554	történész
763	555	festőművész
764	556	etnográfus
765	557	irodalomtörténész
766	557	kritikus
767	557	író
768	557	műfordító
769	558	irodalomtörténész
770	558	filológus
771	559	író
772	560	mezőgazdász
773	561	grafikus
774	561	szobrász
775	562	színművész
776	563	író
777	563	költő
778	563	festő
779	563	lapszerkesztő
780	564	földműves
781	564	egyéni gazdálkodó
782	565	rendező
783	566	vájár
784	567	festő
785	567	grafikus
786	568	színművész
787	569	klarinét- és tárogatóművész
788	570	bányamérnök
789	571	színművész
790	572	geofizikus
791	572	geológus
792	573	fazekas
793	573	népművész
794	574	író
795	574	költő
796	574	műfordító
797	575	író
798	575	kritikus
799	576	gépészmérnök
800	577	operaénekes
801	578	filmrendező
802	579	agrármérnök
803	580	pedagógus
804	580	író
805	581	bábszínész
806	581	bábkészítő
807	582	fogorvos
808	583	operatőr
809	584	zeneszerző
810	584	karmester
811	585	tsz-elnök
812	586	rendező
813	586	színigazgató
814	587	szobrász
815	588	építészmérnök
816	588	díszlettervező
817	589	színművész
818	589	színigazgató
819	590	gyermekgyógyász
820	591	geológus
821	592	mozdonyfűtő
822	593	író
823	593	műfordító
824	594	kovács
825	595	festő
826	595	grafikus
827	596	balettművész
828	596	koreográfus
829	597	párttitkár
830	598	operaénekes
831	599	irodalomtörténész
832	600	belsőépítész
833	601	színművész
834	602	asztalos
835	603	filmrendező
836	604	szobrász
837	605	szövetkezet
838	606	mérnök
839	606	könnyűipari miniszter
840	607	kémikus
841	608	anatómus
842	609	fejőgulyás
843	610	kémikus
844	611	szobrász
845	611	politikus
846	612	etnográfus
847	613	pedagógus
848	614	színművész
849	615	szobrász
850	615	éremművész
851	616	bányamérnök
852	617	földműves
853	618	esztergályos
854	619	irodalomtörténész
855	620	mérnök
856	621	festő
857	622	nyelvész
858	623	gépészmérnök
859	624	mineralógus
860	625	zeneszerző
861	626	szobrász
862	627	növénynemesítő
863	628	zongoraművész
864	628	karmester
865	629	zeneszerző
866	629	népzenekutató
867	630	író
868	631	festő
869	632	festő
870	633	agrármérnök
871	634	filmrendező
872	635	népművelő
873	636	vegyész
874	637	író
875	637	kritikus
876	637	műfordító
877	638	operatőr
878	639	erdész
879	640	hegedűművész
880	640	hangversenymester
881	641	operaénekes
882	642	karmester
883	643	vegyész
884	644	színművész
885	644	rendező
886	645	festő
887	645	grafikus
888	646	festő
889	646	grafikus
890	647	festő
891	648	író
892	648	szociológus
893	648	kiadói szerkesztő
894	649	bábtervező
895	650	kémikus
896	651	statikus mérnök
897	652	gépészmérnök
898	653	fotóművész
899	654	festő
900	655	parazitológus
901	656	mérnök
902	657	filmrendező
903	658	klarinétművész
904	659	hegedűművész
905	660	pedagógus
906	661	történész
907	661	író
908	661	irodalomtörténész
909	662	fizikus
910	663	kőműves
911	664	karmester
912	665	építőipari brigád
913	666	pedagógus
914	667	villamosmérnök
915	668	pedagógus
916	668	népművelő
917	669	vájár
918	670	keramikus
919	670	szobrász
920	671	balettművész
921	672	osztályvezető
922	673	tüdőgyógyász
923	674	operaénekes
924	675	színművész
925	676	villamosmérnök
926	677	költő
927	677	író
928	678	karmester
929	679	bányamérnök
930	680	színművész
931	681	építészmérnök
932	682	szobrász
933	683	könyvtártudományi szakíró
934	684	vegyész
935	685	író
936	686	agrokémikus
937	687	költő
938	687	műfordító
939	688	hengerész
940	689	gyermekgyógyász
941	690	színművész
942	691	balettművész
943	692	gépészmérnök
944	693	zeneszerző
945	694	festő
946	695	mérnök
947	696	kőműves
948	697	színművész
949	698	zeneszerző
950	698	népzenekutató
951	699	gyárigazgató
952	700	balettművész
953	701	író
954	701	költő
955	701	műfordító
956	702	orvos
957	702	biokémikus
958	703	festő
959	703	grafikus
960	704	színművész
961	705	színművész
962	706	költő
963	706	műfordító
964	706	esszéíró
965	707	irodalomtörténész
966	707	nyelvész
967	708	vegyészmérnök
968	709	költő
969	709	író
970	709	műfordító
971	710	építészmérnök
972	711	pedagógus
973	712	író
974	713	színművész
975	713	rendező
976	714	karmester
977	715	színművész
978	716	gépészmérnök
979	717	nyomdász
980	718	zeneszerző
981	719	fiziko-kémikus
982	720	író
983	720	költő
984	721	grafikus
985	721	könyvművész
986	722	rendező
987	723	gépészmérnök
988	724	zeneszerző
989	725	nyelvész
990	725	orientalista
991	726	kohómérnök
992	727	mérnök
993	728	könyvtáros
994	728	festő
995	728	grafikus
996	729	villamosmérnök
997	730	fiziológus
998	731	gyártmányszerkesztő
999	732	sebész
1000	733	lakatos
1001	734	mozdonyfűtő
1002	735	politikus
1003	736	operaénekes
1004	737	festő
1005	738	földműves
1006	738	tsz-elnök
1007	739	frontmester
1008	739	vájár
1009	740	mozdonyvezető
1010	741	mérnök
1011	742	gépészmérnök
1012	743	vájár
1013	744	karmester
1014	745	esztéta
1015	745	filozófus
1016	746	villamosmérnök
1017	747	színész
1018	748	karmester
1019	749	brácsaművész
1020	750	rendező
1021	751	építészmérnök
1022	752	néprajzkutató
1023	752	szociálpszichológus
1024	753	művészettörténész
1025	754	darutervező
1026	755	kőműves
1027	756	színész
1028	756	színházi rendező
1029	757	pedagógus
1030	758	építész
1031	758	építészettörténész
1032	759	színész
1033	759	rendező
1034	759	színigazgató
1035	760	filmrendező
1036	761	színész
1037	762	pedagógus
1038	763	építész
1039	763	belsőépítész
1040	764	szobrász
1041	765	operaénekes
1042	766	vegyész
1043	766	szerológus
1044	767	mezőgazdász
1045	768	állatorvos
1046	769	állatorvos
1047	770	olvasztár
1048	771	balettművész
1049	771	koreográfus
1050	772	klasszika-filológus
1051	773	gépészmérnök
1052	774	költő
1053	774	műfordító
1054	775	gépészmérnök
1055	776	rendező
1056	777	operaénekes
1057	778	jogász
1058	779	rendező
1059	779	színigazgató
1060	780	szobrász
1061	781	festő
1062	781	grafikus
1063	782	fizikus
1064	783	vegyészmérnök
1065	784	vegyészmérnök
1066	785	kémikus
1067	785	hidrobiológus
1068	786	festő
1069	786	grafikus
1070	786	filmkészítő
1071	787	égető
1072	788	színész
1073	789	gépészmérnök
1074	790	író
1075	791	író
1076	791	költő
1077	792	filmrendező
1078	793	villamoshegesztő
1079	794	iparművész
1080	794	jelmeztervező
1081	795	habarcsterítő kőműves
1082	796	színész
1083	797	színész
1084	798	botanikus
1085	799	építészmérnök
1086	800	operaénekes
1087	801	színész
1088	802	szobrász
1089	803	előhengerész
1090	804	védőnő
1091	805	szobrászművész
1092	806	politikus
1093	806	vezérigazgató
1094	807	bőrgyógyász
1095	808	földműves
1096	809	operaénekes
1097	810	szobrász
1098	811	színész
1099	812	író
1100	813	vegyészmérnök
1101	814	gordonkaművész
1102	815	író
1103	816	kombájnos
1104	817	író
1105	817	újságíró
1106	818	pszichológus
1107	819	színész
1108	820	traktoros
1109	821	filozófus
1110	821	esztéta
1111	822	állatorvos
1112	823	vájár
1113	824	filmrendező
1114	825	jogász
1115	825	vasúti üzemszervező
1116	826	író
1117	826	költő
1118	826	műfordító
1119	827	kertészeti
1120	827	növénynemesítő
1121	828	író
1122	829	hídépítő mérnök
1123	830	zeneszerző
1124	830	karmester
1125	830	operaház-igazgató
1126	831	kohómérnök
1127	832	tsz-elnök
1128	833	rendező
1129	834	szobrász
1130	834	éremművész
1131	835	operaénekes
1132	836	vegyészmérnök
1133	837	építészmérnök
1134	838	olvasztár
1135	839	állatorvos
1136	840	kertészmérnök
1137	841	építészmérnök
1138	842	író
1139	843	operaénekes
1140	844	zeneszerző
1141	844	zeneesztéta
1142	845	gyógyszervegyész
1143	846	sebész
1144	847	külügyminiszter
1145	848	földműves
1146	848	egyéni gazdálkodó
1147	849	koreográfus
1148	849	néptánckutató
1149	850	színész
1150	851	festő
1151	852	színész
1152	853	elektromérnök
1153	854	színész
1154	855	klasszika-filológus
1155	856	vízépítő mérnök
1156	857	esztergályos
1157	858	gépészmérnök
1158	859	zenekar
1159	860	szerves-kémikus
1160	861	sebész-anatómus
1161	862	villamosmérnök
1162	863	kémikus
1163	864	vegyészmérnök
1164	865	költő
1165	866	lakatos
1166	867	vegyészmérnök
1167	868	író
1168	869	költő
1169	869	műfordító
1170	870	író
1171	870	újságíró
1172	871	balettművész
1173	872	iparművész
1174	872	jelmeztervező
1175	873	író
1176	874	balettművész
1177	875	operarendező
1178	875	zeneszerző
1179	876	festő
1180	877	villamosmérnök
1181	877	fizikus
1182	878	történész
1183	878	politikus
1184	879	költő
1185	879	esszéíró
1186	879	műfordító
1187	880	pedagógus
1188	881	animációsfilm-rendező
1189	882	fizikus
1190	883	brácsaművész
1191	884	orientalista
1192	885	író
1193	886	tsz-elnök
1194	887	gépészmérnök
1195	888	koreográfus
1196	889	fizikus
1197	890	agrármérnök
1198	890	vegyész
1199	891	osztályvezető
1200	892	termelőszövetkezet
1201	893	rendező
1202	893	díszlettervező
1203	894	gazdasági vezető
1204	895	szobrász
1205	895	éremművész
1206	896	színész
1207	897	színész
1208	898	gordonkaművész
1209	899	költő
1210	899	műfordító
1211	900	költő
1212	900	író
1213	900	műfordító
1214	901	gyapjúszövő
1215	902	mozdonyfűtő
1216	903	mezőgazdász
1217	904	balettművész
1218	905	operaénekes
1219	906	vájár
1220	907	operaénekes
1221	908	vegyészmérnök
1222	909	geofizikus
1223	910	magkészítő
1224	911	író
1225	911	műfordító
1226	912	író
1227	913	méhész
1228	914	fizikus
1229	914	egyetemi tanár
1230	915	színész
1231	916	történész
1232	917	nyelvész
1233	918	vájár
1234	919	vájár
1235	920	operaénekes
1236	921	építészmérnök
1237	922	bolyhozó
1238	923	gépészmérnök
1239	924	hídépítő mérnök
1240	925	öntő
1241	926	újságíró
1242	927	díszlettervező
1243	928	bábművész
1244	928	színész
1245	929	bányamérnök
1246	930	gépészmérnök
1247	931	díszlet- és jelmeztervező
1248	931	performer
1249	932	gépésztechnikus
1250	933	színész
1251	934	szerszámlakatos
1252	935	fizikus
1253	936	igazgató
1254	937	kőműves
1255	938	vegyipari szakmunkás
1256	939	irodalomtörténész
1257	939	kritikus
1258	940	balettművész
1259	940	koreográfus
1260	941	író
1261	941	költő
1262	942	beatzenész
1263	942	dobos
1264	943	szobrász
1265	943	éremművész
1266	944	lakatos
1267	945	jazz-zenész
1268	945	gordonművész
1269	946	geomorfológus
1270	946	pedagógus
1271	947	gépészmérnök
1272	948	gordonkaművész
1273	949	táncfolklorista
1274	949	koreográfus
1275	950	gyermekgyógyász
1276	951	költő
1277	951	műfordító
1278	952	zeneszerző
1279	953	színész
1280	954	mérnök
1281	955	lakatos
1282	956	matematikus
1283	957	vegyészmérnök
1284	958	művészettörténész
1285	959	költő
1286	960	vegyészmérnök
1287	961	vegyészmérnök
1288	962	munkás
1289	963	karmester
1290	964	operaénekes
1291	965	textilművész
1292	966	vegyészmérnök
1293	967	balettművész
1294	968	balettművész
1295	969	kertészeti növénynemesítő
1296	970	esztergályos
1297	971	tengerészkapitány
1298	972	kőműves
1299	973	festő
1300	974	mérnök
1301	975	zeneszerző
1302	975	előadóművész
1303	975	zenekarvezető
1304	976	szerelési főosztályvezető
1305	977	kémikus
1306	978	színész
1307	979	gépészmérnök
1308	980	balettművész
1309	981	vegyészmérnök
1310	982	operaénekes
1311	983	geográfus
1312	984	előadóművész
1313	985	filmrendező
1314	986	operatőr
1315	987	népzenekutató
1316	987	zenetörténész
1317	987	zenepedagógus
1318	988	malomépítész
1319	989	csőhajlító
1320	990	színész
1321	991	színész
1322	992	filmrendező
1323	993	grafikus
1324	994	gépészmérnök
1325	995	mikrobiológus
1326	996	pedagógus
1327	997	koreográfus
1328	998	cimbalomművész
1329	999	ütőhangszeres művész
1330	1000	városvédő
1331	1000	operatőr
1332	1000	rendező
1333	1001	költő
1334	1001	műfordító
1335	1002	zongoraművész
1336	1003	zeneszerző
1337	1004	történész
1338	1005	színész
1339	1006	gépészmérnök
1340	1007	geodéta
1341	1008	üzemvezető
1342	1009	grafikus
1343	1010	építészmérnök
1344	1011	animációs
1345	1011	filmrendező
1346	1012	geofizikus
1347	1013	matematikus
1348	1014	matematikus
1349	1015	publicista
1350	1015	irodalomtörténész
1351	1015	politikus
1352	1016	gépészmérnök
1353	1017	fővájár
1354	1018	mezőgazdász
1355	1019	író
1356	1020	matematikus
1357	1021	munkás
1358	1022	építész
1359	1023	karmester
1360	1023	hegedűművész
1361	1024	kémikus
1362	1025	operaénekes
1363	1026	balettművész
1364	1027	erdőmérnök
1365	1028	szövőnő
1366	1029	esztergályos
1367	1030	operaénekes
1368	1031	sebész
1369	1032	repülőmérnök
1370	1033	filozófus
1371	1034	mérnök
1372	1035	festő
1373	1035	grafikus
1374	1036	vájár
1375	1037	kémikus
1376	1038	belgyógyász
1377	1039	rendező
1378	1040	színész
1379	1041	író
1380	1042	mérnök
1381	1043	traktoros
1382	1044	vájár
1383	1045	lakatos
1384	1046	állatorvos
1385	1047	gépészmérnök
1386	1048	író
1387	1048	kritikus
1388	1049	operaénekes
1389	1050	író
1390	1050	újságíró
1391	1051	író
1392	1052	ideggyógyász
1393	1053	operatőr
1394	1053	filmrendező
1395	1054	zeneszerző
1396	1055	gyógyszervegyész
1397	1056	mérnök
1398	1057	jelmeztervező
1399	1058	agrármérnök
1400	1059	fiziko-kémikus
1401	1060	festő
1402	1060	grafikus
1403	1061	zongoraművész
1404	1062	mérnök
1405	1063	optikai műszertervező
1406	1064	gépészmérnök
1407	1065	bányamérnök
